tsne_1,tsne_2,Task,Class,Image
8.232074,-25.521122,0,Herbeceous,/scratcht/FLAIR_1/train/D074_2020/Z4_NN/img/IMG_050800.tif
-7.4997144,10.081068,0,Herbeceous,/scratcht/FLAIR_1/train/D074_2020/Z7_NU/img/IMG_051087.tif
-15.137476,-9.653122,0,Herbeceous,/scratcht/FLAIR_1/train/D074_2020/Z6_AU/img/IMG_051037.tif
7.7471066,-31.422646,0,Herbeceous,/scratcht/FLAIR_1/train/D074_2020/Z4_NN/img/IMG_050801.tif
5.7181377,-28.72354,0,Herbeceous,/scratcht/FLAIR_1/train/D074_2020/Z10_NF/img/IMG_051322.tif
-3.1987782,-33.08662,0,Herbeceous,/scratcht/FLAIR_1/train/D074_2020/Z3_UN/img/IMG_050591.tif
10.127391,-24.41163,0,Herbeceous,/scratcht/FLAIR_1/train/D074_2020/Z11_NF/img/IMG_051506.tif
15.562027,-22.353403,0,Herbeceous,/scratcht/FLAIR_1/train/D074_2020/Z1_NN/img/IMG_050340.tif
32.24878,15.812965,0,Natural,/scratcht/FLAIR_1/train/D074_2020/Z1_NN/img/IMG_050355.tif
3.3187172,13.578642,0,Natural,/scratcht/FLAIR_1/train/D074_2020/Z7_NU/img/IMG_051115.tif
30.675177,15.53953,0,Natural,/scratcht/FLAIR_1/train/D074_2020/Z1_NN/img/IMG_050414.tif
34.03524,20.035088,0,Natural,/scratcht/FLAIR_1/train/D074_2020/Z1_NN/img/IMG_050368.tif
9.569706,5.427841,0,Natural,/scratcht/FLAIR_1/train/D074_2020/Z8_UF/img/IMG_051143.tif
-15.788491,20.938171,0,Natural,/scratcht/FLAIR_1/train/D074_2020/Z3_UN/img/IMG_050596.tif
0.5579394,0.9440802,0,Natural,/scratcht/FLAIR_1/train/D074_2020/Z8_UF/img/IMG_051205.tif
-9.051152,11.241098,0,Natural,/scratcht/FLAIR_1/train/D074_2020/Z3_UN/img/IMG_050697.tif
-14.169421,21.855257,0,Natural,/scratcht/FLAIR_1/train/D074_2020/Z3_UN/img/IMG_050654.tif
-9.568379,10.7470045,0,Natural,/scratcht/FLAIR_1/train/D074_2020/Z9_UN/img/IMG_051266.tif
34.597866,21.108221,0,Natural,/scratcht/FLAIR_1/train/D074_2020/Z1_NN/img/IMG_050364.tif
21.144575,23.261486,0,Natural,/scratcht/FLAIR_1/train/D074_2020/Z1_NN/img/IMG_050411.tif
-6.5909452,4.978051,0,Natural,/scratcht/FLAIR_1/train/D074_2020/Z3_UN/img/IMG_050657.tif
-7.6624184,8.719137,0,Natural,/scratcht/FLAIR_1/train/D074_2020/Z9_UN/img/IMG_051296.tif
-5.9993587,8.957423,0,Natural,/scratcht/FLAIR_1/train/D074_2020/Z3_UN/img/IMG_050617.tif
-29.337069,19.450674,0,Natural,/scratcht/FLAIR_1/train/D074_2020/Z3_UN/img/IMG_050597.tif
30.520037,15.07854,0,Natural,/scratcht/FLAIR_1/train/D074_2020/Z1_NN/img/IMG_050393.tif
31.655813,15.870934,0,Natural,/scratcht/FLAIR_1/train/D074_2020/Z1_NN/img/IMG_050376.tif
-9.791169,10.850655,0,Natural,/scratcht/FLAIR_1/train/D074_2020/Z9_UN/img/IMG_051265.tif
-0.21182196,12.067128,0,Natural,/scratcht/FLAIR_1/train/D074_2020/Z9_UN/img/IMG_051249.tif
34.593372,20.453764,0,Natural,/scratcht/FLAIR_1/train/D074_2020/Z1_NN/img/IMG_050363.tif
-15.906844,19.81131,0,Natural,/scratcht/FLAIR_1/train/D074_2020/Z3_UN/img/IMG_050614.tif
30.555681,15.125352,0,Natural,/scratcht/FLAIR_1/train/D074_2020/Z1_NN/img/IMG_050415.tif
-0.017610095,12.2897415,0,Natural,/scratcht/FLAIR_1/train/D074_2020/Z3_UN/img/IMG_050613.tif
-29.843687,20.555424,0,Natural,/scratcht/FLAIR_1/train/D074_2020/Z8_UF/img/IMG_051166.tif
-15.770641,19.566675,0,Natural,/scratcht/FLAIR_1/train/D074_2020/Z8_UF/img/IMG_051176.tif
31.134794,16.093092,0,Natural,/scratcht/FLAIR_1/train/D074_2020/Z1_NN/img/IMG_050429.tif
4.569906,13.808452,0,Natural,/scratcht/FLAIR_1/train/D074_2020/Z3_UN/img/IMG_050715.tif
-5.333748,12.827577,0,Natural,/scratcht/FLAIR_1/train/D074_2020/Z7_NU/img/IMG_051105.tif
4.4425783,13.756313,0,Natural,/scratcht/FLAIR_1/train/D074_2020/Z3_UN/img/IMG_050695.tif
-9.568615,10.750224,0,Natural,/scratcht/FLAIR_1/train/D074_2020/Z9_UN/img/IMG_051267.tif
-2.6683643,13.280355,0,Natural,/scratcht/FLAIR_1/train/D074_2020/Z3_UN/img/IMG_050635.tif
30.758444,18.239635,0,Natural,/scratcht/FLAIR_1/train/D074_2020/Z1_NN/img/IMG_050428.tif
-1.5785848,23.818945,0,Natural,/scratcht/FLAIR_1/train/D074_2020/Z8_UF/img/IMG_051195.tif
-8.374789,9.354593,0,Natural,/scratcht/FLAIR_1/train/D074_2020/Z3_UN/img/IMG_050677.tif
-15.840019,19.68609,0,Natural,/scratcht/FLAIR_1/train/D074_2020/Z8_UF/img/IMG_051186.tif
34.63625,20.374144,0,Natural,/scratcht/FLAIR_1/train/D074_2020/Z1_NN/img/IMG_050367.tif
